,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
380,Mocuba,-16.84,36.99,73.62,97,10,0.54,MZ,1607129855
381,Baie-Comeau,49.22,-68.15,35.6,93,90,8.05,CA,1607129855
382,Nioki,-2.72,17.68,71.24,97,100,3.38,CD,1607129856
383,Kieta,-6.22,155.63,85.33,65,13,5.1,PG,1607129587
384,Antofagasta,-23.65,-70.4,62.6,77,20,6.93,CL,1607129856
385,Itabira,-19.62,-43.23,73.4,83,40,9.17,BR,1607129712
386,Acarí,-15.43,-74.62,69.03,64,100,3.51,PE,1607129539
387,Marawi,8.0,124.29,82.0,80,12,4.0,PH,1607129856
388,Broome,42.25,-75.83,40.69,52,90,10.29,US,1607129856
389,Saint-Louis,16.33,-15.0,77.0,41,0,4.7,SN,1607129856
390,Haines,59.23,-135.44,33.8,86,90,9.17,US,1607129857
391,Talwāra,31.95,75.87,59.43,50,0,3.69,IN,1607129857
392,Isangel,-19.55,169.27,84.2,79,75,9.17,VU,1607129291
393,Steinbach am Taunus,50.17,8.57,36.46,87,90,4.7,DE,1607129857
394,Sault,44.09,5.41,36.9,100,20,6.93,FR,1607129857
395,Taoudenni,22.68,-3.98,68.02,26,40,8.61,ML,1607129857
396,Bathsheba,13.22,-59.52,77.0,83,20,8.05,BB,1607129526
397,Sao,20.51,76.21,63.07,46,100,3.8,IN,1607129826
398,Fereydun,34.37,46.92,35.6,93,96,2.55,IR,1607129857
399,Emerald,-23.53,148.17,90.19,33,3,5.82,AU,1607129857
400,Thinadhoo,0.53,72.93,82.62,75,0,20.27,MV,1607129572
401,Lufilufi,-13.87,-171.6,91.4,66,75,6.93,WS,1607129858
402,Prainha,-1.8,-53.48,81.25,61,8,4.59,BR,1607129858
403,Whitehorse,60.72,-135.05,24.15,92,75,3.36,CA,1607129575
404,Matara,5.95,80.54,77.74,85,99,7.96,LK,1607129858
405,Nuuk,64.18,-51.72,33.8,95,100,28.86,GL,1607129858
406,Kalamare,-22.93,26.57,67.89,73,0,17.25,BW,1607129858
407,Nanortalik,60.14,-45.24,33.49,87,100,9.69,GL,1607129258
408,Luwuk,-0.95,122.79,85.71,66,37,2.08,ID,1607129768
409,Zemio,5.03,25.14,75.31,45,97,2.39,CF,1607129859
410,Mpraeso,6.59,-0.73,70.56,100,45,3.38,GH,1607129859
411,Canutama,-6.53,-64.38,75.7,93,92,1.39,BR,1607129637
412,Myitkyina,25.38,97.4,57.04,89,0,2.73,MM,1607129859
413,San,13.3,-4.9,69.94,23,6,1.14,ML,1607129818
414,Kasongo-Lunda,-6.47,16.82,68.31,93,99,0.65,CD,1607129859
415,Padang,-0.95,100.35,80.51,64,100,2.57,ID,1607129859
416,Mokshan,53.44,44.61,8.01,39,0,4.85,RU,1607129860
417,Gewanē,10.17,40.65,77.22,56,0,3.02,ET,1607129861
418,San,13.3,-4.9,69.94,23,6,1.14,ML,1607129818
419,Santa,17.49,120.43,83.79,68,0,11.7,PH,1607129861
420,Luanda,-8.84,13.23,77.0,88,20,4.7,AO,1607129861
421,Mayo,38.89,-76.51,48.92,81,90,3.36,US,1607129861
422,Muli,2.92,73.57,82.58,78,19,18.25,MV,1607129861
423,Enshi,30.3,109.48,40.35,71,76,0.98,CN,1607129861
424,Berbera,10.44,45.01,78.82,79,87,6.33,SO,1607129861
425,Kerema,-7.96,145.78,84.38,68,100,6.17,PG,1607129453
426,Kloulklubed,7.04,134.26,84.2,79,75,5.82,PW,1607129498
427,Stokmarknes,68.56,14.91,34.68,78,100,4.0,NO,1607129862
428,Oussouye,12.48,-16.55,74.32,94,0,4.7,SN,1607129805
429,Buraidah,26.33,43.98,64.4,100,75,3.36,SA,1607129562
430,Aklavik,68.22,-135.01,-13.0,75,5,2.24,CA,1607129862
431,Prome,18.82,95.22,71.13,78,27,0.54,MM,1607129862
432,Tessalit,20.2,1.01,66.58,27,0,4.63,ML,1607129773
433,Mollendo,-17.02,-72.01,65.64,76,31,3.2,PE,1607129862
434,Kushiro,42.98,144.37,35.6,51,20,4.7,JP,1607129862
435,Saint-François,46.42,3.91,39.2,93,90,3.36,FR,1607129370
436,Tuy,14.02,120.73,84.51,83,40,2.24,PH,1607129862
437,Beipiao,41.79,120.78,16.09,84,0,2.75,CN,1607129862
438,Akdepe,42.06,59.38,6.84,78,0,4.7,TM,1607129734
439,Wittelsheim,47.81,7.24,35.19,93,90,5.61,FR,1607129863
440,Osmaniye,37.07,36.25,54.0,59,93,14.0,TR,1607129863
441,Rūdbār,30.15,62.6,47.37,58,73,8.14,AF,1607129863
442,Arkhara,49.42,130.08,10.71,93,96,6.91,RU,1607129863
443,Portland,45.52,-122.68,46.54,49,1,13.87,US,1607129679
444,Epe,6.58,3.98,77.65,91,0,4.18,NG,1607129863
445,Smithers,54.78,-127.17,39.2,86,90,10.29,CA,1607129429
446,Saldanha,-33.01,17.94,62.6,63,0,3.36,ZA,1607129376
447,Poum,-20.23,164.02,78.04,74,25,4.76,NC,1607129863
448,Ürümqi,43.8,87.6,10.4,92,75,2.24,CN,1607129864
449,That,26.86,71.83,68.0,48,0,8.12,IN,1607129864
450,Bourail,-21.57,165.48,85.28,48,0,11.48,NC,1607129864
451,Batagay-Alyta,67.8,130.41,-10.89,89,100,1.14,RU,1607129864
452,Kuching,1.55,110.33,77.94,88,20,3.36,MY,1607129864
453,Kouango,4.99,19.96,72.45,39,0,1.25,CF,1607129864
454,Baldone,56.74,24.39,37.54,86,90,14.99,LV,1607129864
455,Sosnovo-Ozerskoye,52.52,111.54,-1.61,92,92,9.33,RU,1607129864
456,Hillsborough,37.57,-122.38,57.52,67,1,3.36,US,1607129804
457,Imbituba,-28.24,-48.67,73.4,78,40,5.82,BR,1607129865
458,Midland,32.0,-102.08,50.11,25,1,3.36,US,1607129805
459,Shūshtar,32.05,48.86,64.76,58,63,2.21,IR,1607129865
460,Tiarei,-17.53,-149.33,86.0,58,75,10.29,PF,1607129865
461,Kaeo,-35.1,173.78,64.99,69,100,8.99,NZ,1607129865
462,Baikunthpur,23.25,82.55,55.36,50,0,0.58,IN,1607129865
463,Port,-7.03,29.76,72.05,75,100,4.99,CD,1607129865
464,Tazovsky,67.47,78.7,18.61,97,100,20.2,RU,1607129865
465,Ahipara,-35.17,173.17,64.06,56,100,6.96,NZ,1607129329
466,Mount Abu,24.6,72.7,54.14,49,0,2.37,IN,1607129822
467,Zhigalovo,54.81,105.16,6.69,91,100,6.44,RU,1607129866
468,Kutum,14.2,24.67,60.48,31,9,7.56,SD,1607129866
469,Mastic,40.8,-72.84,47.25,76,90,3.36,US,1607129588
470,Ketchikan,55.34,-131.65,46.31,91,100,9.15,US,1607129866
471,Belyy,55.84,32.94,25.47,95,73,10.51,RU,1607129866
472,Faanui,-16.48,-151.75,80.69,79,100,19.77,PF,1607129396
473,Liverpool,53.41,-2.98,40.46,93,100,13.87,GB,1607129673
474,Kavieng,-2.57,150.8,85.39,63,9,3.98,PG,1607129455
475,Dāmghān,36.17,54.35,39.7,72,0,2.42,IR,1607129867
476,Bafilo,9.35,1.27,69.8,68,0,2.08,TG,1607129867
477,Patacamaya,-17.23,-67.92,48.04,77,95,6.53,BO,1607129867
478,Conde,-7.26,-34.91,78.8,88,20,9.17,BR,1607129606
479,Kenai,60.55,-151.26,15.04,72,75,4.7,US,1607129867
480,Havøysund,71.0,24.66,30.2,80,0,10.29,NO,1607129629
481,Danville,36.59,-79.39,52.68,81,90,3.36,US,1607129867
482,Dunda,-8.12,34.25,68.31,77,67,2.21,TZ,1607129868
483,Boden,65.83,21.69,33.8,98,99,9.17,SE,1607129868
484,Novopskov,49.55,39.09,21.92,85,0,12.01,UA,1607129868
485,Mahibadhoo,3.78,72.97,82.15,79,100,16.55,MV,1607129350
486,Una,20.82,71.03,71.83,45,0,5.14,IN,1607129868
487,Rundu,-17.93,19.77,68.7,75,100,3.15,NA,1607129772
488,Camiri,-20.05,-63.52,65.57,88,100,2.98,BO,1607129868
489,Eureka,40.8,-124.16,51.55,87,75,3.31,US,1607129867
490,High,33.61,-95.75,41.99,61,1,4.7,US,1607129868
491,Sorong,-0.88,131.25,84.61,74,78,6.73,ID,1607129869
492,Lumut,4.23,100.63,75.2,94,20,3.36,MY,1607129869
493,Itoman,26.12,127.67,67.24,77,75,17.22,JP,1607129764
494,Nioro,13.35,-15.75,73.0,54,0,8.48,GM,1607129310
495,Manuk,-7.9,111.5,81.18,74,87,2.33,ID,1607129869
496,Nosy,51.99,20.8,39.45,10,2,19.01,PL,1607129869
497,Codrington,-38.27,141.97,69.57,39,100,21.83,AU,1607129384
498,Avilés,43.55,-5.92,42.98,80,20,16.11,ES,1607129869
499,Davila,18.47,120.58,77.0,83,20,16.11,PH,1607129869
500,Svolvær,68.23,14.57,36.0,73,100,7.0,NO,1607129869
501,Vestmanna,62.16,-7.17,37.4,93,100,2.24,FO,1607129279
502,Eilat,29.56,34.95,59.0,67,0,3.44,IL,1607129870
503,Sayyan,15.17,44.32,47.35,67,89,1.48,YE,1607129870
504,Mendi,-6.18,143.65,73.76,51,94,3.87,PG,1607129870
505,Cayenne,4.93,-52.33,78.8,100,0,6.33,GF,1607129870
506,Xining,36.62,101.77,17.92,86,39,2.95,CN,1607129870
507,Kizner,56.27,51.51,8.76,91,51,1.74,RU,1607129870
508,Beringovskiy,63.05,179.32,24.64,92,23,9.86,RU,1607129870
509,San,13.3,-4.9,69.94,23,6,1.14,ML,1607129818
510,Buala,-8.14,159.59,85.57,68,11,3.36,SB,1607129630
511,Lar,26.2,83.97,62.47,47,0,2.84,IN,1607129652
512,Sirte,31.21,16.59,61.09,51,0,15.59,LY,1607129871
513,Waingapu,-9.66,120.26,85.15,65,100,0.83,ID,1607129871
514,Inta,66.03,60.17,14.79,95,89,20.31,RU,1607129454
515,San,13.3,-4.9,69.94,23,6,1.14,ML,1607129582
516,Cuenca,-2.88,-78.98,59.0,87,75,10.29,EC,1607129871
517,Magaramkent,41.62,48.35,39.81,92,100,5.66,RU,1607129871
518,Ternate,0.8,127.4,84.25,72,14,5.5,ID,1607129623
519,Kiryat Gat,31.61,34.76,57.65,77,0,2.24,IL,1607129345
520,Dossor,47.53,52.98,16.66,85,16,7.65,KZ,1607129871
521,Capelinha,-17.69,-42.52,67.06,95,100,1.74,BR,1607129872
522,Necochea,-38.55,-58.74,53.01,66,0,8.7,AR,1607129332
523,Achacachi,-16.05,-68.68,46.83,77,88,12.41,BO,1607129872
524,Bantul,-7.89,110.33,78.8,88,20,4.7,ID,1607129872
525,Bertoua,4.58,13.68,66.4,50,31,3.6,CM,1607129590
526,Brownsville,25.9,-97.5,55.24,50,1,6.93,US,1607129784
527,Tiznit Province,29.58,-9.5,55.13,83,90,15.43,MA,1607129872
528,Blackfoot,43.19,-112.34,27.73,44,0,3.0,US,1607129872
529,Hohhot,40.81,111.65,-0.4,84,0,4.47,CN,1607129872
530,Arlit,18.74,7.39,78.62,20,0,6.91,NE,1607129872
531,Kitob,39.08,66.83,33.13,76,12,0.83,UZ,1607129873
532,Caraquet,47.79,-64.94,32.0,85,100,3.36,CA,1607129873
533,Carballo,43.21,-8.69,46.27,78,100,13.0,ES,1607129873
534,Concepción,-36.83,-73.05,62.6,63,0,14.99,CL,1607129873
